frame,id,x,y,z
0,0,4.696732443647656,4.476552981571226,1.2405680609965541
0,1,7.548499814761097,9.729884547695818,0.8301979723993258
0,2,3.043081931135175,7.960526833032842,4.010907781069834
0,3,9.825949807470103,2.3671845725165697,5.573625204858846
0,4,5.265438294701922,3.1939085420129985,2.4215447238520147
1,0,4.865252730275873,4.613349998043691,1.1260340282320231
1,1,7.800136566241196,9.781727729093916,0.9127013273207772
1,2,3.15432994501999,8.013756732070853,3.9591581098440223
1,3,9.798865683548025,2.3817776391609966,5.647930609886432
1,4,5.258326459261549,3.1423300326483234,2.6013841119564636
2,0,5.024181997657961,4.702774345718463,1.0465103734255257
2,1,8.100933976704079,9.808221773655566,1.0242744721161072
2,2,3.334017640247337,8.053752922776088,3.8944075664348374
2,3,9.777794542418958,2.479061299159168,5.679333202459811
2,4,5.2460995717776875,3.057105926908493,2.7943734818105126
3,0,5.22600149813674,4.806258109719078,0.9166438935279103
3,1,8.409490362294532,9.820927261028151,1.1205535870329764
3,2,3.4895086427237354,8.07767164672694,3.727120355286038
3,3,9.798458050848188,2.6015195776063744,5.685250717575838
3,4,5.2210409982163375,2.955635579109378,3.019056084691518
4,0,5.447730760280291,4.935436315265606,0.791138194999242
4,1,8.694541132280085,9.82744059292214,1.2801702969672335
4,2,3.646511487117111,8.107425948194617,3.5404361100570725
4,3,9.781648184973202,2.6764405691335234,5.717412719300448
4,4,5.1682888487568865,2.8692363546940323,3.32301705304048
5,0,5.589143828640722,5.043404598848863,0.6627988489617495
5,1,9.101690135206372,9.837835739850002,1.4336543333170617
5,2,3.771149666990489,8.213842021978374,3.3201833593534116
5,3,9.676891974472234,2.7865963058016745,5.72905385083073
5,4,5.137810053789092,2.8930665496779606,3.6326993287650335
6,0,5.737558218330887,5.233956208581149,0.45953530547857036
6,1,9.515495522475547,9.885467323330765,1.668259978616091
6,2,3.7796999316361664,8.35615228259627,3.1073964498635633
6,3,9.54499075239763,2.939901391252244,5.718543659859714
6,4,5.123508353162402,2.8905514183482954,3.955184283531915
7,0,5.88865541912944,5.436596470524745,0.20251540606191026
7,1,9.941468164908724,9.949515984692662,1.9601315065235916
7,2,3.759760261060988,8.397560520249346,2.960544653516926
7,3,9.400867058309146,3.1506480454283134,5.6754151950375
7,4,5.046264468010737,2.8097227964649325,4.296209682132225
8,0,5.974493329982426,5.604940419599844,-0.019161085166857106
8,1,10.345231510282215,9.939165003272434,2.2028936749231756
8,2,3.7465225236020796,8.411326181228395,2.8972265812403735
8,3,9.260984014716161,3.3674352297238004,5.623356789851946
8,4,5.016983327795914,2.7042892772371014,4.581821634330672
9,0,6.037864064526652,5.789372438802204,-0.2524019952698452
9,1,10.732445600434902,9.9526451242572,2.5243296885382884
9,2,3.7086630682124087,8.48113387338362,2.7741855437171608
9,3,9.164340155913846,3.5936028250535506,5.53221320308546
9,4,5.063290700361961,2.5632360954148607,4.907254426687675
10,0,6.1727680119723205,6.065579462598389,-0.42430168019323905
10,1,11.078332141826534,9.97718780210096,2.920043663533344
10,2,3.664933284886679,8.601365427889498,2.6991300473779836
10,3,9.106460456862768,3.749443411244368,5.472261464678362
10,4,5.14839092420019,2.438997170856807,5.162546529299498
11,0,6.340474961170493,6.323413830763958,-0.6267994927631816
11,1,11.431454040586187,9.993553162839708,3.288462853446507
11,2,3.59524718916543,8.673979209987646,2.632981803247267
11,3,9.05121802335688,3.884277382430508,5.397959430553936
11,4,5.174284382045082,2.2683471279835397,5.420791287401191
12,0,6.471311370682769,6.572809692601374,-0.7660325321118087
12,1,11.825931870825354,9.956072527801199,3.65704799962344
12,2,3.488408225489385,8.78744164622231,2.564916852383517
12,3,9.01901585686454,4.0264575493738795,5.2824306575211235
12,4,5.221863570002612,2.0736142532303607,5.5605836782857505
13,0,6.6525291450254604,6.888233944068554,-0.9333136007541695
13,1,12.270537122697245,9.8712590235319,4.0119957222000115
13,2,3.3307163424316872,8.845491962158038,2.5101137841608305
13,3,8.945273257148719,4.170789866339442,5.134767471016695
13,4,5.203228627459566,1.8113643151220715,5.687340254896477
14,0,6.795622546572456,7.190737299156734,-1.0971555263272021
14,1,12.658405017778248,9.78626395820722,4.375019647875904
14,2,3.200613049105227,8.975345348862769,2.4739340152719125
14,3,8.817783787686732,4.2691759160132,4.956219948660812
14,4,5.1704395330846795,1.5672937255929256,5.790772266261813
15,0,6.920828456012065,7.515168135374144,-1.2925943605368677
15,1,13.108588732151901,9.750902020945684,4.791999256186394
15,2,3.056231831186013,9.140960689140885,2.4540409379725956
15,3,8.792908932249052,4.285156893886942,4.811882104644545
15,4,5.212853659024172,1.340090765042294,5.941486646469034
16,0,7.0080725757217746,7.810782561873708,-1.4715097585627297
16,1,13.574103285496824,9.740042547249171,5.2085504840519405
