frame,id,x,y,z,time(s)
5,1,8.156019846499415,5.385054895777814,5.1363133345358865,0.001666199997998774
5,4,9.094405449523498,9.69116897018661,5.378975166751627,0.001666199997998774
5,5,5.5235926067199586,6.975398553663318,6.623171476900272,0.001666199997998774
5,6,2.930878063648473,2.778882466660133,5.7892193075492635,0.001666199997998774
5,7,2.174619127071208,9.370394894104944,0.3536198515150452,0.001666199997998774
6,1,7.999350924349735,5.581000901421226,5.256470084121497,0.0019981000223197043
6,4,9.050402085541416,9.784224755339816,5.024861294964481,0.0019981000223197043
6,5,5.321097376234147,6.97805586574982,6.422789815484175,0.0019981000223197043
6,6,2.6806085177369425,2.648675834908102,5.836010695569652,0.0019981000223197043
6,7,2.2624014669770816,9.246516038338154,0.07484375956143868,0.0019981000223197043
7,1,7.928482150651604,5.787043392452057,5.059184515551333,0.0023437999770976603
7,4,8.933031329487436,9.733514676119238,4.7224049223310836,0.0023437999770976603
7,5,4.902162058394465,6.8519238287459965,6.261446000771251,0.0023437999770976603
7,6,2.4005413395053226,2.548408235972332,5.802553223522835,0.0023437999770976603
7,7,2.2010369624501207,9.155919012483343,-0.21783176815230199,0.0023437999770976603
8,1,7.738771337543628,6.203811832319616,4.9662809294639585,0.002595999976620078
8,4,8.955290317597333,9.795638021236028,4.411279271747226,0.002595999976620078
8,5,4.548431397439397,6.70967720985093,6.240628236566659,0.002595999976620078
8,6,2.0425703948866354,2.4017733541775383,5.671029752563864,0.002595999976620078
8,7,2.2712072947519992,9.10108904949286,-0.5161439420914979,0.002595999976620078
9,1,7.737413038514962,6.4523491391124335,4.807677352097304,0.002905900008045137
9,4,9.006963232494787,9.884399913972393,4.221185152909132,0.002905900008045137
9,5,4.217372428099323,6.757724090456707,6.138709794917926,0.002905900008045137
9,6,1.8833534913524423,2.1987486257706235,5.637250600059661,0.002905900008045137
9,7,2.2133024794854483,9.054048978098587,-0.8438689550389529,0.002905900008045137
10,1,7.783494089870872,6.803135673414118,5.016741103297092,0.003189300012309104
10,4,9.006963232494787,9.884399913972393,4.221185152909132,0.003189300012309104
10,5,3.9486220253459545,6.623025104746589,6.086059054549869,0.003189300012309104
10,6,1.789474100196806,2.0313255855855976,5.571989498920065,0.003189300012309104
10,7,2.163009546865881,8.929429506962554,-1.1294539382084527,0.003189300012309104
11,1,7.607050689040463,7.02993784894501,4.818009551958881,0.0034543999936431646
11,4,9.006963232494787,9.884399913972393,4.221185152909132,0.0034543999936431646
11,5,3.5163809622974522,6.4204280693323,6.0455488402761,0.0034543999936431646
11,6,1.4326407453150427,2.123318479382649,5.45257896149541,0.0034543999936431646
11,7,2.094376851437758,8.98976669596175,-1.3778799664102428,0.0034543999936431646
12,1,7.4461755777701555,7.303787513419538,4.7823790233434345,0.0037440999876707792
12,5,3.408980375997618,6.189598347275311,6.201997294596855,0.0037440999876707792
